Site name,Region, Latitude,Longitude,Lab Code,Date BP,SD,d13C,Level,Period,Material type,C14 method,Reference,Radiocarbon/sites,,,,,,,,,,,,,
Cova de l'Or,Eastern / Southern,38.84444444,-0.363888889,Beta298125,6340,40,,Evento K3,Neolithic,Seed/Fruit,AMS,Martí 2011,8,,,,,,,,,,,,,
Cova de l'Or,Eastern / Southern,38.84444444,-0.363888889,Beta298126,6200,40,,Evento J2,Neolithic,Seed/Fruit,AMS,Martí 2011,8,,,,,,,,,,,,,
Cova de l'Or,Eastern / Southern,38.84444444,-0.363888889,H1754o1208,6265,75,,IV,Neolithic,Seed/Fruit,AMS,Martí 2011,8,,,,,,,,,,,,,
Cova de l'Or,Eastern / Southern,38.84444444,-0.363888889,OxA10191,6275,70,,Evento J3,Neolithic,Seed/Fruit,AMS,Martí 2011,8,,,,,,,,,,,,,
Cova de l'Or,Eastern / Southern,38.84444444,-0.363888889,OxA10192,6310,70,,Evento J2,Neolithic,Seed/Fruit,AMS,Martí 2011,8,,,,,,,,,,,,,
Cova de l’Or,Eastern / Southern,38.84444444,-0.363888889,Beta322891,5630,30,,III,Neolithic,Bone,AMS,Pérez Jordà 2013,8,,,,,,,,,,,,,
Cova de la Sarsa,Eastern / Southern,38.73646111,-0.556358333,OxA236022,6389,33,,-,Neolithic,Bone,AMS,García Borja et al. 2012a,4,,,,,,,,,,,,,
Cova de la Sarsa,Eastern / Southern,38.73646111,-0.556358333,OxA236025,6399,35,,-,Neolithic,Bone,AMS,García Borja et al. 2012a,4,,,,,,,,,,,,,
Cova de la Sarsa,Eastern / Southern,38.73646111,-0.556358333,OxA26075,6420,32,-18.5,-,Neolithic,Bone,AMS,García Borja et al. 2012a,4,,,,,,,,,,,,,
Cova de la Sarsa,Eastern / Southern,38.73646111,-0.556358333,OxA26076,6506,32,-19.8,-,Neolithic,Bone,AMS,García Borja et al. 2012a,4,,,,,,,,,,,,,
Cova de les Cendres,Eastern / Southern,38.68611389,0.1525,Beta107405,6280,80,,H19,Neolithic,Bone,AMS,Bernabeu y Molina 2009,5,,,,,,,,,,,,,
