Site name,Region, Latitude,Longitude,Lab Code,Date BP,SD,d13C,Level,Period,Material type,C14 method,Reference,Radiocarbon/sites,,,,,,,,,,,,,
Los Castillejos,Upper / Middle Guadiana-Guadalquivir,37.26721111,-3.984188889,Ua37844,6140,45,,V,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012,14,,,,,,,,,,,,,
Mas d'Is,Eastern / Southern,38.68833333,-0.395833333,Beta331018,6030,30,,104392 /104393 / 104394,Neolithic,Bone,AMS,Bernabeu et al. 2014,6,,,,,,,,,,,,,
Mas d'Is,Eastern / Southern,38.68833333,-0.395833333,Beta331019,6140,30,,105628 / 105629 /105636,Neolithic,Bone,AMS,Bernabeu et al. 2014,6,,,,,,,,,,,,,
Mas d'Is,Eastern / Southern,38.68833333,-0.395833333,Beta166727,6600,50,-22.7,Sector 80,Neolithic,Seed/Fruit,AMS,Bernabeu et al. 2014,6,,,,,,,,,,,,,
Mas d'Is,Eastern / Southern,38.68833333,-0.395833333,Beta171907,5550,40,,-,Neolithic,Seed/Fruit,AMS,Bernabeu et al. 2014,6,,,,,,,,,,,,,
Mas d'Is,Eastern / Southern,38.68833333,-0.395833333,Beta171908,5590,40,,-,Neolithic,Seed/Fruit,AMS,Bernabeu et al. 2014,6,,,,,,,,,,,,,
Mas d'Is,Eastern / Southern,38.68833333,-0.395833333,Beta162092,6600,50,-24.1,Sector 80,Neolithic,Seed/Fruit,AMS,Bernabeu et al. 2014,6,,,,,,,,,,,,,
Peña Larga,Upper / Middle Ebro,42.40856389,-2.298580556,Beta242783,6720,40,,IV,Neolithic,Bone,AMS,Rojo et al. 2012,2,,,,,,,,,,,,,
Peña Larga,Upper / Middle Ebro,42.40856389,-2.298580556,Beta242782,5720,40,,IV,Neolithic,Bone,AMS,Rojo et al. 2012,2,,,,,,,,,,,,,
Reina Amàlia,Northern,41.37655833,2.16765,Beta259278,5750,40,,-,Neolithic,Bone,AMS,González 2009,1,,,,,,,,,,,,,
Roca Chica,South Mediterranean,38.79055556,-0.280833333,Wk25162,6234,30,,-,Neolithic,Bone,AMS,Cortés et al. 2012,4,,,,,,,,,,,,,
Roca Chica,South Mediterranean,38.79055556,-0.280833333,Wk27462,6234,30,,-,Neolithic,Bone,AMS,Cortés et al. 2012,4,,,,,,,,,,,,,
Roca Chica,South Mediterranean,38.79055556,-0.280833333,Ua34135,6265,60,,-,Neolithic,Seed/Fruit,AMS,Cortés et al. 2012,4,,,,,,,,,,,,,
Roca Chica,South Mediterranean,38.79055556,-0.280833333,Wk25172,6185,30,,-,Neolithic,Seed/Fruit,AMS,Cortés et al. 2012,4,,,,,,,,,,,,,
Vale Boi,Portugal,37.06066944,-8.896044444,OxA13445,6042,34,,-,Neolithic,Bone,AMS,Rojo et al. 2012,2,,,,,,,,,,,,,
Vale Boi,Portugal,37.06066944,-8.896044444,Wk17030,6036,39,,-,Neolithic,Bone,AMS,Rojo et al. 2012,2,,,,,,,,,,,,,
Ventana,Upper /Middle Tagus,40.84944722,3.526261111,Beta166232,6350,40,,II inferior,Neolithic,Bone,,Jiménez Guijarro 2010,1,,,,,,,,,,,,,
Vinya d’en Pau,Northern,41.34618611,1.696869444,CNA2488.1.1,6410,40,,,Neolithic,Bone,AMS,Oms et al. 2014,1,,,,,,,,,,,,,
