Site name,Region,Lab Code,Date BP,SD,d13C,Level,Period,Material type,C14 method,Reference
Cova del Toll,Northern,OxA26071,6390,34,-20,IIb,Neolithic,Bone,AMS,Oms et al. 2014
Cova del Vidre,Eastern / Southern,OxA26064,6181,35,-19.4,II,Neolithic,Bone,AMS,Oms et al. 2014
Cova del Vidre,Eastern / Southern,OxA26065,6248,33,-19.6,II,Neolithic,Bone,AMS,Oms et al. 2014
Cova dels Trocs,Upper / Middle Ebro,Beta284150,6070,40,,Trocs I,Neolithic,Seed/Fruit,AMS,Rojo et al. 2015
Cova dels Trocs,Upper / Middle Ebro,Beta316512,6080,40,,Trocs I,Neolithic,Seed/Fruit,AMS,Rojo et al. 2015
Cova dels Trocs,Upper / Middle Ebro,Beta316511,5590,40,,Trocs II,Neolithic,Seed/Fruit,AMS,Rojo et al. 2015
Cova dels Trocs,Upper / Middle Ebro,Beta316513,5580,40,,Trocs II,Neolithic,Seed/Fruit,AMS,Rojo et al. 2015
Cova dels Trocs,Upper / Middle Ebro,Beta316514,6050,40,,Trocs I,Neolithic,Seed/Fruit,AMS,Rojo et al. 2015
Cova dels Trocs,Upper / Middle Ebro,Beta316515,5590,40,,Trocs II,Neolithic,Seed/Fruit,AMS,Rojo et al. 2015
Cova Fosca de la Vall d'Ebo,Eastern / Southern,OxA26047,6413,33,-18.3,U-Z,Neolithic,Bone,AMS,García Borja et al. 2012b
Cova de Sant Llorenç,Northern,Beta299597,6160,40,,II,Neolithic,Seed/Fruit,,"Martins et al., 2015"
Cueva de los Mármoles,Upper / Middle Guadiana-Guadalquivir,Wk25171,6198,31,,Silo Este,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012
Cueva de los Mármoles,Upper / Middle Guadiana-Guadalquivir,Beta313470,6100,40,,Cabaña,Neolithic,Seed/Fruit,AMS,Peña Chocarro et al. 2013
Cueva de los Mármoles,Upper / Middle Guadiana-Guadalquivir,Beta313471,6250,40,,-,Neolithic,Seed/Fruit,AMS,Peña Chocarro et al. 2013
Cueva de los Mármoles,Upper / Middle Guadiana-Guadalquivir,Beta313472,6180,40,,-,Neolithic,Seed/Fruit,AMS,Peña Chocarro et al. 2013
Cueva de los Mármoles,Upper / Middle Guadiana-Guadalquivir,Beta313473,6180,30,,-,Neolithic,Seed/Fruit,AMS,Peña Chocarro et al. 2013
Cueva de los Murciélagos,Upper / Middle Guadiana-Guadalquivir,OxA15646,6184,35,,A,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012
Cueva de los Murciélagos,Upper / Middle Guadiana-Guadalquivir,OxA15647,6192,35,,A,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012
Cueva de los Murciélagos,Upper / Middle Guadiana-Guadalquivir,OxA15648,6199,36,,A,Neolithic,Seed/Fruit,AMS,Peña Chocarro et al. 2013
Cueva de los Murciélagos,Upper / Middle Guadiana-Guadalquivir,OxA15649,6056,35,,B,Neolithic,Seed/Fruit,AMS,Peña Chocarro et al. 2013
Cueva de los Murciélagos,Upper / Middle Guadiana-Guadalquivir,Beta316509,6200,40,,A,Neolithic,Seed/Fruit,AMS,Peña Chocarro et al. 2013
Cueva de los Murciélagos,Upper / Middle Guadiana-Guadalquivir,OxA15650,6170,37,,Silo 1969,Neolithic,Seed/Fruit,AMS,Peña Chocarro et al. 2013
Cueva de los Murciélagos,Upper / Middle Guadiana-Guadalquivir,Beta313475,5920,40,,B,Neolithic,Seed/Fruit,AMS,Peña Chocarro et al. 2013
Cueva de los Murciélagos,Upper / Middle Guadiana-Guadalquivir,Beta313476,6110,40,,C,Neolithic,Seed/Fruit,AMS,Peña Chocarro et al. 2013
Cueva de los Murciélagos,Upper / Middle Guadiana-Guadalquivir,Beta313477,6140,40,,A,Neolithic,Seed/Fruit,AMS,Peña Chocarro et al. 2013
Cueva de los Murciélagos,Upper / Middle Guadiana-Guadalquivir,GrN6169,6150,45,,C,Neolithic,Seed/Fruit,Conventional,Peña Chocarro et al. 2013
Cueva de los Murciélagos,Upper / Middle Guadiana-Guadalquivir,GrN6639,6025,45,,C,Neolithic,Seed/Fruit,Conventional,Peña Chocarro et al. 2013
Cueva de Nerja,South Mediterranean,OxA26079,6207,32,-17.1,NM6,Neolithic,Bone,AMS,Aura et al. 2013
Cueva de Nerja,South Mediterranean,OxA26080,6196,31,-19.7,NM7,Neolithic,Bone,AMS,Aura et al. 2013
Cueva de Nerja,South Mediterranean,OxA26081,6219,33,,NM7,Neolithic,Bone,AMS,Aura et al. 2013
Cueva de Nerja,South Mediterranean,OxA26082,6214,35,-20.2,NM8,Neolithic,Bone,AMS,Aura et al. 2013
Cueva de Nerja,South Mediterranean,OxA26083,6252,33,-16.5,NM9,Neolithic,Bone,AMS,Aura et al. 2013
Cueva de Nerja,South Mediterranean,OxA26084,6254,33,-16.5,NM9,Neolithic,Bone,AMS,Aura et al. 2013
Cueva de Nerja,South Mediterranean,OxA26085,6342,37,-18.6,NM10,Neolithic,Bone,AMS,Aura et al. 2013
Cueva de Nerja,South Mediterranean,OxA26086,6466,33,,NM12,Neolithic,Bone,AMS,Aura et al. 2013
Cueva de Nerja,South Mediterranean,Beta131577,6590,40,,NV4,Neolithic,Bone,AMS,Aura et al. 2013
Cueva de Nerja,South Mediterranean,Beta369357,6300,40,,NV3,Neolithic,Bone,AMS,García Borja et al. 2014
Cueva de Nerja,South Mediterranean,OxA26077,5998,31,,NM5,Neolithic,Bone,AMS,García Borja et al. 2014
Cueva de Nerja,South Mediterranean,OxA26078,6149,31,,NM5,Neolithic,Bone,AMS,García Borja et al. 2014
Cueva de Nerja,South Mediterranean,Beta284147,6050,40,,NM5,Neolithic,Seed/Fruit,AMS,Aura et al. 2013
Cueva del Toro,South Mediterranean,Beta341131,6110,30,,IV,Neolithic,Seed/Fruit,AMS,Peña Chocarro et al. 2013
Cueva del Toro,South Mediterranean,Beta341132,6150,30,,IV,Neolithic,Seed/Fruit,AMS,Peña Chocarro et al. 2013
Cueva Font Major,Northern,Beta317705,6310,40,,Ig,Neolithic,Bone,AMS,Oms et al. 2014
El Barranquet,Eastern / Southern,Beta221431,6510,50,,-,Neolithic,Bone,AMS,Rojo et al. 2012
El Cavet,Northern,OxA25802,6449,40,-24.3,UE 2012,Neolithic,Seed/Fruit,AMS,Oms et al. 2014
El Cavet,Northern,OxA26061,6536,36,-24.3,UE 2014,Neolithic,Seed/Fruit,AMS,Oms et al. 2014
El Mirador,Upper / Middle Douro,Beta208134,6300,50,,-,Neolithic,Seed/Fruit,AMS,Vergés et al. 2008
El Mirador,Upper / Middle Douro,Beta208133,6110,40,,-,Neolithic,Seed/Fruit,AMS,Vergés et al. 2008
El Mirador,Upper / Middle Douro,Beta197384,6070,50,,-,Neolithic,Seed/Fruit,AMS,Vergés et al. 2008
El Mirador,Upper / Middle Douro,Beta208132,6090,40,,-,Neolithic,Seed/Fruit,AMS,Vergés et al. 2008
El Mirador,Upper / Middle Douro,Beta220914,6080,40,,-,Neolithic,Seed/Fruit,AMS,Vergés et al. 2008
El Mirón,Cantabrian,GX309010,5550,40,,-,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012
El Tonto,Upper / Middle Tagus,Beta317251,6230,30,,-,Neolithic,Bone,AMS,"Bernabeu et al., 2015"
Hostal Guadalupe,South Mediterranean,Wk25167,6249,30,,-,Neolithic,Bone,AMS,Cortés et al. 2012
Hostal Guadalupe,South Mediterranean,Ua34136,6190,50,,-,Neolithic,Seed/Fruit,AMS,Cortés et al. 2012
Hostal Guadalupe,South Mediterranean,Wk25168,6197,35,,-,Neolithic,Seed/Fruit,AMS,Cortés et al. 2012
La Draga,Northern,Beta278255,6270,40,,I,Neolithic,Bone,AMS,Rojo et al. 2012
La Draga,Northern,Beta278256,6170,40,,I,Neolithic,Bone,AMS,Rojo et al. 2012
La Draga,Northern,OxA20231,6163,31,,I,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012
La Draga,Northern,Oxa20232,6121,33,,I,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012
La Draga,Northern,OxA20233,6179,33,,II,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012
La Draga,Northern,Oxa20234,6127,33,,II,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012
La Draga,Northern,OxA20235,6143,33,,II,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012
La Draga,Northern,UBAR313,6010,70,,II,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012
La Lampara,Upper / Middle Douro,UtC13346,6280,50,,Estructura 1,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012
La Paleta,Upper /Middle Tagus,Beta223091,5850,40,,Hoyo 175,Neolithic,Bone,,Jiménez Guijarro 2010
La Paleta,Upper /Middle Tagus,Beta223092,6660,60,,Hoyo 219,Neolithic,Seed/Fruit,AMS,Jiménez Guijarro 2010
La Revilla del Campo,Upper / Middle Douro,KIA21353,6156,33,,Estructura 12,Neolithic,Bone,AMS,Rojo et al. 2012
La Revilla del Campo,Upper / Middle Douro,KIA21354,6177,31,,Estructura 13,Neolithic,Bone,AMS,Rojo et al. 2012
La Revilla del Campo,Upper / Middle Douro,KIA21356,6355,30,,Estructura 4,Neolithic,Bone,AMS,Rojo et al. 2012
La Revilla del Campo,Upper / Middle Douro,UtC13269,6250,50,,Estructura 2,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012
La Revilla del Campo,Upper / Middle Douro,UtC13294,6240,50,,Estructura 16,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012
La Revilla del Campo,Upper / Middle Douro,UtC13295,6250,50,,Estructura 12,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012
La Revilla del Campo,Upper / Middle Douro,UtC13347,6313,48,,Estructura 9,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012
La Revilla del Campo,Upper / Middle Douro,UtC13348,6120,60,,Estructura 4,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012
La Revilla del Campo,Upper / Middle Douro,UtC13350,6210,60,,Estructura 2,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012
Les Guixeres,Northern,OxA26068,6655,45,,A,Neolithic,Bone,AMS,Oms et al. 2014
Les Guixeres,Northern,OxA26069,6458,38,-19.1,A,Neolithic,Bone,AMS,Oms et al. 2014
